"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Kenneth Faried","HOU","PF,C","8.8","5.6","0.9","0.7","0.7",".531",".689","0.0","68","20.7","1.1"
"Wilson Chandler","LAC","SG,SF,PF ","8.8","4.3","1.5","0.4","0.5",".445",".747","1.0","73","20.8","1.0"
"Ryan Anderson","MIA","PF,C","8.8","3.6","0.8","0.2","0.3",".414",".832","1.7","77","27.4","0.6"
"Emmanuel Mudiay","NYK","PG","8.8","2.6","3.4","0.2","0.7",".375",".765","0.8","77","18.4","1.8"
"Chandler Hutchison","CHI","SG,SF ","8.8","5.1","1.8","0.5","0.9",".457",".768","1.2","76","23.4","1.6"
"Jerami Grant","OKC","SF,PF ","8.8","4.0","1.3","1.3","0.7",".481",".669","0.6","81","27.9","0.9"
"Fred VanVleet","TOR","PG ","8.7","2.3","3.0","0.3","0.8",".421",".837","1.4","77","21.5","1.0"
"Derrick Rose","MIN","PG","8.7","1.8","2.1","0.1","0.6",".450",".857","0.7","66","19.7","1.2"
"Maurice Harkless","POR","SF","8.5","3.9","1.0","0.8","1.0",".491",".673","0.9","78","26.2","0.9"
"Dwyane Wade","MIA","PG,SG","8.5","2.6","2.3","0.5","0.7",".440",".748","0.4","70","22.6","1.5"
"JaVale McGee","LAL","C","8.5","5.0","0.7","1.1","0.5",".607",".653","0.0","77","19.1","0.7"
"Alex Len","ATL","PF,C","8.5","6.7","1.0","0.9","0.4",".520",".713","0.0","78","21.7","1.2"
"Skal Labissiere","POR","PF,C","8.4","4.6","1.1","0.6","0.5",".482",".774","0.4","74","19.8","1.1"
"Cody Zeller","CHA","PF,C","8.3","5.6","1.3","0.8","0.7",".560",".698","0.1","75","24.5","1.0"
"Dzanan Musa","BKN","SF,SG ","8.3","2.6","1.4","0.3","0.4",".451",".811","1.1","72","18.9","1.1"
"Marvin Williams","CHA","SF,PF","8.3","5.2","1.0","0.3","0.6",".449",".827","1.4","66","23.6","0.6"
"Tristan Thompson","CLE","PF,C ","8.2","8.4","1.0","0.9","0.5",".532",".581","0.0","79","27.1","1.0"
"Evan Turner","POR","SG,SF ","8.2","3.6","2.6","0.4","0.7",".434",".835","0.5","77","25.6","1.4"
"Courtney Lee","DAL","SG,SF","8.1","2.2","1.6","0.2","0.7",".447",".894","1.0","79","24.7","0.7"
"Austin Rivers","HOU","PG,SG","8.0","1.4","2.1","0.1","0.6",".434",".667","1.1","76","22.7","1.0"
